paper_id,question_no,qbm_id,bank_id,id
45135663,13,2522061738205184,4,10922151
45135663,14,2532573548314624,25,10922221
45135663,15,2532563257016320,25,10922240
45135663,16,2526256358113280,10,10922364
45135663,17,2526284703145985,10,10922418
45135663,18,2526284703170561,10,10922421
45135663,19,2507993452224512,9,10922547
45695265,1,2532651338432512,8,10922597
45695265,2,2532739541114880,14,10922697
45695265,3,2532846668455936,14,10922730
45695265,4,2525042240602112,17,10922750
45695265,5,2533165028163584,7,10922784
45695265,6,2533134110105600,14,10922819
45695265,7,2532757603131392,14,10922883
45695265,8,2532724201693185,14,10922974
45695265,9,2532724201725952,14,10922976
45695265,10,2532724201775104,14,10922982
45695265,11,2532724201791488,14,10922983
45695265,12,2532724201922560,14,10922993
45695265,13,2532831381135361,14,10923034
45695265,14,2531467870576641,12,10923079
45695265,15,2514405309038593,2,10923197
45695265,16,2529600826179584,26,10923343
45695265,17,2530946539495424,10,10923348
45695265,18,2530699994923008,12,10923370
45695265,19,2530699995004928,12,10923381
45695265,20,2530699995045889,12,10923387
45695265,21,2530699995209729,12,10923406
46005667,1,2530699995275264,12,10923413
46005667,2,2530699995291648,12,10923415
46005667,3,2530699995529217,12,10923460
46005667,4,2524966601981952,17,10923592
46005667,5,2532722581520384,18,10923658
46005667,6,2528544560070656,4,10923716
46005667,7,2531243297333248,23,10923743
46005667,8,2531243297341441,23,10923746
46005667,9,2530713398394880,12,10923780
46005667,10,2530606025097216,12,10923896
46005667,11,2530606025105408,12,10923897
46005667,12,2530606025310209,12,10923932
46005667,13,2530606025383936,12,10923943
46005667,14,2530606025424896,12,10923949
46005667,15,2532639247884288,12,10923986
46005667,16,2533891375988736,2,10924017
46005667,17,2516451912507393,13,10924040
46005667,18,2533927481540608,2,10924053
46005667,19,2516305392861184,13,10924150
46051328,1,2532488187592704,25,10924225
46051328,2,2532492536840193,25,10924251
46051328,3,2508094359961600,9,10924297
46051328,4,2532579282862080,25,10924365
46051328,5,2532579282903041,25,10924371
46051328,6,2532132854464513,12,10924480
46051328,7,2529588777443328,11,10924504
